batch_id,timestamp,tray_position,batch_temp_high,batch_temp_low,ambient_temp,facility_temp,sensor_status,quality_check_status,container_id,external_pressure,thermal_reading,relative_humidity,calibration_date,product_name,heat_unit,cold_value,t_min,notes
B10039,2025-02-07 8:00:00,AM4,3.7,3.7,20.9,18.6,ACTIVE,FAIL,C5539,1014.8,3.5,47.3,2024-12-23,Polio,3.6,1.2,2.0,Temperature below range
B10039,2025-02-07 12:00:00,AM4,5.4,4.6,20.4,18.1,ACTIVE,FAIL,C5539,1015.1,1.1,47.6,2024-12-23,Polio,1.2,-0.2,2.0,Critical low temperature
B10039,2025-02-07 16:00:00,AM4,6.5,5.7,20.7,18.4,ACTIVE,FAIL,C5539,1014.9,1.8,47.4,2024-12-23,Polio,1.9,0.4,2.0,Temperature slowly recovering
B10039,2025-02-07 20:00:00,AM4,7.4,3.1,21.2,18.8,ACTIVE,FAIL,C5539,1014.7,2.8,47.2,2024-12-23,Polio,2.9,0.9,2.0,Temperature still below range
B10040,2025-02-08 8:00:00,AN5,7.8,4.1,21.6,19.2,ACTIVE,PASS,C5540,1014.3,4.4,46.8,2024-12-24,Hepatitis B,4.5,1.9,2.0,Normal operation
B10040,2025-02-08 12:00:00,AN5,6.5,4.0,23.9,20.4,ERROR,FAIL,C5540,1012.3,9.0,44.8,2024-12-24,Hepatitis B,9.1,4.9,2.2,Critical temperature excursion
B10040,2025-02-08 16:00:00,AN5,7.2,4.6,23.4,20.1,ACTIVE,FAIL,C5540,1012.6,8.5,45.1,2024-12-24,Hepatitis B,8.6,4.5,2.0,Temperature excursion continues
B10040,2025-02-08 20:00:00,AN5,6.7,4.3,23.0,19.8,ACTIVE,FAIL,C5540,1012.9,8.1,45.4,2024-12-24,Hepatitis B,8.2,4.2,2.0,Temperature slowly recovering
B10041,2025-02-09 8:00:00,AO1,5.0,4.4,21.4,19.0,ACTIVE,PASS,C5541,1014.5,4.2,47.0,2024-12-25,DTaP,4.3,1.8,2.0,Normal operation
B10041,2025-02-09 12:00:00,AO1,6.0,4.9,21.7,19.3,ACTIVE,PASS,C5541,1014.2,4.4,46.7,2024-12-25,DTaP,4.5,1.9,2.0,Normal operation
B10041,2025-02-09 16:00:00,AO1,3.8,3.0,21.9,19.4,ACTIVE,PASS,C5541,1014.0,4.5,46.5,2024-12-25,DTaP,4.6,2.0,2.0,Normal operation
